,NOME,ANO_PESQUISA,ANO_INGRESSO,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,FASE,TURMA,NIVEL_IDEAL,PONTO_VIRADA,INDICADO_BOLSA,BOLSISTA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IEG,IDA,IPV,IAA,IPS,IPP,IAN,CF,CG,CT,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,DEFASAGEM,SINALIZADOR_INGRESSANTE,NOTA_PORT,NOTA_MAT,NOTA_ING
0,ALUNO-1,2020,,Escola Pública,11.0,2.0,2,H,,Não,,,7.883752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.7,7.0,7.75,8.500020000000001,7.5,5.9375,10.0,,,,,,,,,,,,,,,,,
1,ALUNO-3,2020,,Escola Pública,12.0,2.0,3,H,,Não,,,7.856389666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.9,5.5,8.111113333333334,7.91667,7.5,8.125,10.0,,,,,,,,,,,,,,,,,
2,ALUNO-4,2020,,Escola Pública,10.0,2.0,1,D,,Não,,,5.076252,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,4.1,0.0,7.75,8.000020000000001,6.875,7.1875,5.0,,,,,,,,,,,,,,,,,
3,ALUNO-5,2020,,Escola Pública,10.0,1.0,2,M,,Não,,,8.077085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.5,8.166665,7.50002,7.5,8.4375,10.0,,,,,,,,,,,,,,,,,
4,ALUNO-8,2020,,Rede Decisão/União,14.0,3.0,4,L,,Sim,,,8.381390666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.9,7.333333333333333,8.94445,8.33334,4.375,8.749999999999998,10.0,,,,,,,,,,,,,,,,,
5,ALUNO-10,2020,,Escola Pública,13.0,1.0,3,B,,Não,,,5.1618745,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.2,0.0,6.8333325,5.83333,3.75,7.96875,10.0,,,,,,,,,,,,,,,,,
6,ALUNO-11,2020,,Escola Pública,8.0,0.0,0,A,,Sim,,,9.712504,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.0,10.0,10.00001,9.000020000000001,8.125,10.0,10.0,,,,,,,,,,,,,,,,,
7,ALUNO-12,2020,,Rede Decisão/União,14.0,3.0,3,G,,Não,,,5.838887333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.0,6.666666666666667,5.277770000000001,6.25,5.625,5.624999999999999,5.0,,,,,,,,,,,,,,,,,
8,ALUNO-14,2020,,Escola Pública,11.0,2.0,2,M,,Não,,,6.434585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.6,0.0,7.916665,8.000020000000001,6.875,8.4375,10.0,,,,,,,,,,,,,,,,,
9,ALUNO-15,2020,,Escola Pública,12.0,1.0,2,D,,Não,,,5.162502,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,4.0,0.0,7.25,8.500020000000001,7.5,8.125,5.0,,,,,,,,,,,,,,,,,
10,ALUNO-17,2020,,Escola Pública,13.0,2.0,1,G,,Não,,,7.766252,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.8,10.0,7.75,9.50002,7.5,6.5625,5.0,,,,,,,,,,,,,,,,,
11,ALUNO-18,2020,,Escola Pública,14.0,3.0,3,E,,Não,,,7.2055576666666665,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.0,6.5,7.944446666666665,9.58335,7.5,7.083333333333334,5.0,,,,,,,,,,,,,,,,,
12,ALUNO-28,2020,,Rede Decisão/União,13.0,2.0,3,J,,Sim,,,9.354725666666669,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.6,9.0,9.944453333333334,9.58335,6.875,10.0,10.0,,,,,,,,,,,,,,,,,
13,ALUNO-30,2020,,Escola Pública,7.0,0.0,0,C,,Não,,,7.125001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.0,4.75,6.916665,7.916679999999999,7.5,2.5,10.0,,,,,,,,,,,,,,,,,
14,ALUNO-33,2020,,Escola Pública,13.0,0.0,3,E,,Não,,,7.013888333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,4.5,8.666666666666666,6.277773333333332,6.66667,7.5,7.083333333333334,10.0,,,,,,,,,,,,,,,,,
15,ALUNO-34,2020,,Escola Pública,12.0,2.0,2,C,,Não,,,7.698890666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.3,7.0,7.944443333333334,8.500020000000001,6.875,8.125,5.0,,,,,,,,,,,,,,,,,
16,ALUNO-35,2020,,Escola Pública,18.0,3.0,7,B,,Não,,,6.64396,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.1,5.0,8.29167,8.75001,6.25,7.65625,5.0,,,,,,,,,,,,,,,,,
17,ALUNO-36,2020,,Escola Pública,14.0,1.0,3,C,,Não,,,8.307780333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.9,8.0,8.222226666666668,9.58335,7.5,8.749999999999998,5.0,,,,,,,,,,,,,,,,,
18,ALUNO-37,2020,,Escola Pública,10.0,2.0,2,N,,Não,,,6.6788913333333335,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.7,2.5,7.77778,10.00002,4.375,6.458333333333333,10.0,,,,,,,,,,,,,,,,,
19,ALUNO-39,2020,,Escola Pública,13.0,3.0,3,F,,Não,,,8.131388333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.4,8.333333333333334,6.777780000000001,6.24999,7.5,8.541666666666666,10.0,,,,,,,,,,,,,,,,,
20,ALUNO-41,2020,,Escola Pública,11.0,0.0,1,D,,Não,,,7.460002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.3,7.25,7.75,8.000020000000001,7.5,7.5,5.0,,,,,,,,,,,,,,,,,
21,ALUNO-43,2020,,Escola Pública,13.0,2.0,4,F,,Não,,,7.805209,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,7.0,8.04167,7.5,7.5,7.96875,10.0,,,,,,,,,,,,,,,,,
22,ALUNO-44,2020,,Escola Pública,9.0,0.0,1,M,,Não,,,6.218335,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.8,0.0,7.916665,9.000020000000001,7.5,6.25,10.0,,,,,,,,,,,,,,,,,
23,ALUNO-45,2020,,Escola Pública,11.0,1.0,1,G,,Não,,,6.631252,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,1.0,10.0,7.75,8.500020000000001,7.5,7.8125,5.0,,,,,,,,,,,,,,,,,
24,ALUNO-46,2020,,Escola Pública,8.0,0.0,0,C,,Não,,,6.966669,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.0,0.0,7.583335,9.50002,7.5,7.5,10.0,,,,,,,,,,,,,,,,,
25,ALUNO-51,2020,,Escola Pública,8.0,1.0,0,D,,Não,,,8.955835,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.8,10.0,7.416665,9.50002,7.5,8.125,10.0,,,,,,,,,,,,,,,,,
26,ALUNO-52,2020,,Escola Pública,10.0,2.0,2,F,,Não,,,8.181112666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.6,7.0,8.22222,10.00002,6.25,7.916666666666668,10.0,,,,,,,,,,,,,,,,,
